	X107.0_1	X107.0_2	X107.0_3	X107.15_1	X107.15_2	X107.15_3	X90.0_1	X90.0_2	X90.0_3	X90.15_1	X90.15_2	X90.15_3
Ciclev10027030m	0.566675853684295	0.283995464024449	0.15399196449397	0.759057512152803	0.215802959381513	0.393164089672641	1.30642464366288	0.57452351317911	0.914887528839811	0.266449755249913	0.167841689033437	0.257761867111488
Ciclev10027036m	19.1639470518689	19.6524861104918	11.3440747177225	10.9187503671211	19.5301678240269	19.1527077969101	16.0690231170534	14.190730775524	16.0374402114273	12.309978692546	9.67887073426151	12.8880933555744
Ciclev10027037m	2.00912348124432	1.6471736913418	1.5399196449397	1.51811502430561	1.51062071567059	1.46032376164124	2.09027942986061	1.20649937767613	1.66832431729613	0.959219118899686	1.95815303872343	1.34036170897974
Ciclev10027039m	0.360611906890006	0.795187299268456	0.564637203144557	0.233556157585478	0.593458138299161	0.393164089672641	1.17578217929659	0.746880567132843	0.753436788456315	0.746059314699756	1.23083905291187	0.670180854489869
Ciclev10027040m	1.54547960095717	2.04476734097603	1.89923422875896	1.10939174853102	1.18691627659832	1.57265635869056	0.65321232183144	1.5512134855836	0.753436788456315	1.01250906994967	1.67841689033437	1.08259984186825
Ciclev10027042m	25.9125413093818	28.34274730964	34.1862161176614	23.238837679755	25.1949955077916	25.499499530197	27.8268449100193	39.7570271119944	35.3577121439857	38.0490250496876	33.680232266043	31.6531572812907
Ciclev10027043m	2.06063946794289	1.24958004170757	2.36121012224087	1.81006022128745	1.83432515474286	1.5164900601659	1.89431573331118	1.43630878294777	1.3992397499903	0.746059314699756	1.39868074194531	1.23725696213514
Ciclev10027044m	3.50308709550291	3.57834284670805	0.76995982246985	0.291945196981847	2.53568477273278	2.07815304541253	0.65321232183144	0.919237621086576	0.484352221150488	0.42631960839986	1.23083905291187	0.360866613956083
Ciclev10027047m	15.4547960095717	16.9261296558571	12.8326637078308	10.6268051701392	15.6996652950051	12.6374171680492	7.38129923669527	14.1332784242061	12.3240731826069	10.7112801610465	11.8608126916962	10.3620270578818
Ciclev10027048m	0.978803747272872	0.340794556829338	0.513306548313234	0.642279433360064	0.647408878144539	0.168498895573989	1.30642464366288	0.57452351317911	0.861070615378646	0.21315980419993	0.223788918711249	0.360866613956083
Ciclev10027049m	0.978803747272872	0.340794556829338	0.61596785797588	0.291945196981847	0.215802959381513	0.224665194098652	1.43706710802917	1.43630878294777	1.02252135576214	0.852639216799721	1.28678628258968	1.59812357609123
